Continente;Nombre;Tendencia;Puntos;Variacion(%);Variacion puntos;Puntos Anterior;Hora;Fecha;Fecha descarga
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 07:12:30.254000
Europa;IBEX 35;Baja;8726.10;-0.91;-80.40;8806.50; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;BEL 20;Baja;3437.39;-2.08;-72.99;3510.38; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;DAX;Baja;11274.28;-2.17;-250.06;11524.34; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;CAC 40;Baja;4967.69;-1.69;-85.62;5053.31; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;FTSE 100;Baja;6955.21;-1.24;-87.59;7042.80; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;PSI 20;Baja;4932.55;-1.72;-86.51;5019.07; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;EURO STOXX 50®;Baja;3140.94;-1.54;-49.15;3190.09; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;ECO10;Baja;126.34;-1.43;-1.83;128.17; ;23-10-2018;24-10-2018 08:12:30.458000
Europa;FTSE MIB INDEX;Sube;22209.75;+0.90;+197.99;22011.76; ;27-03-2018;24-10-2018 08:12:30.458000
EEUU;DOW JONES;Baja;25191.43;-0.50;-125.98;25317.41; ;23-10-2018;24-10-2018 08:12:30.458000
EEUU;NASDAQ 100;Baja;7118.67;-0.32;-22.54;7141.21; ;23-10-2018;24-10-2018 08:12:30.458000
EEUU;S P 500;Baja;2740.69;-0.55;-15.19;2755.88; ;23-10-2018;24-10-2018 08:12:30.458000
EEUU;NASDAQ COMPOSITE;Baja;7437.54;-0.42;-31.09;7468.63; ;23-10-2018;24-10-2018 08:12:30.458000
Asia;NIKKEI 225;Baja;22010.78;-2.67;-604.04;22614.82; ;23-10-2018;24-10-2018 08:12:30.458000
LATINOAMERICA;IPC MEXICO;Baja;46449.03;-1.09;-513.71;47437.45; ;23-10-2018;24-10-2018 08:12:30.458000
LATINOAMERICA;Merval;Baja;28359.72;-0.73;-208.06;28673.28; ;23-10-2018;24-10-2018 08:12:30.458000
LATINOAMERICA;IPSA;Baja;3779.89;-0.16;-6.17;3784.88; ;23-10-2018;24-10-2018 08:12:30.458000
LATINOAMERICA;LIMA INDICE GENERAL;Baja;18708.69;-1.04;-197.06;18895.09; ;23-10-2018;24-10-2018 08:12:30.458000
LATINOAMERICA;IGBC;Baja;13762.88;-0.21;-29.61;13792.49; ;04-06-2018;24-10-2018 08:12:30.458000
Europa;IBEX 35;Baja;8726.10;-0.91;-80.40;8806.50; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;BEL 20;Baja;3437.39;-2.08;-72.99;3510.38; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;DAX;Baja;11274.28;-2.17;-250.06;11524.34; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;CAC 40;Baja;4967.69;-1.69;-85.62;5053.31; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;FTSE 100;Baja;6955.21;-1.24;-87.59;7042.80; ;23-10-2018;24-10-2018 09:12:30.693000
Europa;PSI 20;Baja;4932.55;-1.72;-86.51;5019.07; ;23-10-2018;24-10-2018 09:12:30.693000
